run_index,algorithm,duration,period,flowmonMode,seed,return_code,elapsed_seconds,decisions,handover_count,final_net,error
189,saw,10.0,0.1,feed,389,0,13.9,100,2,0,
190,saw,10.0,0.1,feed,390,0,14.7,100,2,0,
191,saw,10.0,0.1,feed,391,0,12.1,100,2,0,
192,saw,10.0,0.1,feed,392,0,12.7,100,2,0,
193,saw,10.0,0.1,feed,393,0,12.3,100,2,0,
194,saw,10.0,0.1,feed,394,0,12.0,100,2,0,
195,saw,10.0,0.1,feed,395,0,14.1,100,2,0,
196,saw,10.0,0.1,feed,396,0,16.0,100,2,0,
197,saw,10.0,0.1,feed,397,0,21.6,100,2,0,
198,saw,10.0,0.1,feed,398,0,14.5,100,2,0,
199,saw,10.0,0.1,feed,399,0,15.7,100,2,0,
200,vikor,10.0,0.1,feed,400,0,13.4,100,18,0,
201,vikor,10.0,0.1,feed,401,0,12.8,100,12,0,
202,vikor,10.0,0.1,feed,402,0,12.6,100,18,0,
203,vikor,10.0,0.1,feed,403,0,13.1,100,6,0,
204,vikor,10.0,0.1,feed,404,0,13.2,100,8,0,
205,vikor,10.0,0.1,feed,405,0,21.7,100,16,0,
206,vikor,10.0,0.1,feed,406,0,13.3,100,18,0,
207,vikor,10.0,0.1,feed,407,0,12.0,100,6,0,
208,vikor,10.0,0.1,feed,408,0,14.9,100,18,0,
209,vikor,10.0,0.1,feed,409,0,13.5,100,18,0,
210,vikor,10.0,0.1,feed,410,0,12.4,100,8,0,
211,vikor,10.0,0.1,feed,411,0,13.6,100,18,0,
212,vikor,10.0,0.1,feed,412,0,11.9,100,6,0,
213,vikor,10.0,0.1,feed,413,0,12.2,100,10,0,
214,vikor,10.0,0.1,feed,414,0,13.2,100,24,0,
215,vikor,10.0,0.1,feed,415,0,14.3,100,22,0,
216,vikor,10.0,0.1,feed,416,0,13.2,100,20,0,
217,vikor,10.0,0.1,feed,417,0,12.9,100,12,0,
218,vikor,10.0,0.1,feed,418,0,12.5,100,10,0,
219,vikor,10.0,0.1,feed,419,0,12.5,100,12,0,
220,vikor,10.0,0.1,feed,420,0,14.0,100,14,0,
221,vikor,10.0,0.1,feed,421,0,16.0,100,16,0,
222,vikor,10.0,0.1,feed,422,0,12.0,100,2,0,
223,vikor,10.0,0.1,feed,423,0,20.5,100,6,0,
224,vikor,10.0,0.1,feed,424,0,19.6,100,24,0,
225,vikor,10.0,0.1,feed,425,0,12.9,100,20,0,
226,vikor,10.0,0.1,feed,426,0,12.6,100,16,0,
227,vikor,10.0,0.1,feed,427,0,14.6,100,24,0,
228,vikor,10.0,0.1,feed,428,0,13.4,100,8,0,
229,vikor,10.0,0.1,feed,429,0,12.0,100,4,0,
230,vikor,10.0,0.1,feed,430,0,16.6,100,14,0,
231,vikor,10.0,0.1,feed,431,0,17.5,100,20,0,
232,vikor,10.0,0.1,feed,432,0,12.8,100,10,0,
233,vikor,10.0,0.1,feed,433,0,12.6,100,14,0,
234,vikor,10.0,0.1,feed,434,0,14.4,100,20,0,
235,vikor,10.0,0.1,feed,435,0,13.3,100,22,0,
236,vikor,10.0,0.1,feed,436,0,13.9,100,10,0,
237,vikor,10.0,0.1,feed,437,0,12.8,100,14,0,
238,vikor,10.0,0.1,feed,438,0,11.9,100,6,0,
239,vikor,10.0,0.1,feed,439,0,12.6,100,18,0,
240,vikor,10.0,0.1,feed,440,0,12.4,100,4,0,
241,vikor,10.0,0.1,feed,441,0,12.0,100,10,0,
242,vikor,10.0,0.1,feed,442,0,12.0,100,6,0,
243,vikor,10.0,0.1,feed,443,0,13.7,100,20,0,
244,vikor,10.0,0.1,feed,444,0,20.8,100,8,0,
245,vikor,10.0,0.1,feed,445,0,16.1,100,4,0,
246,vikor,10.0,0.1,feed,446,0,12.5,100,6,0,
247,vikor,10.0,0.1,feed,447,0,13.0,100,14,0,
248,vikor,10.0,0.1,feed,448,0,16.5,100,18,0,
249,vikor,10.0,0.1,feed,449,0,15.1,100,24,0,
250,gra,10.0,0.1,feed,450,0,15.5,100,20,0,
251,gra,10.0,0.1,feed,451,0,17.5,100,20,0,
252,gra,10.0,0.1,feed,452,0,13.2,100,20,0,
253,gra,10.0,0.1,feed,453,0,13.3,100,18,0,
254,gra,10.0,0.1,feed,454,0,14.5,100,20,0,
255,gra,10.0,0.1,feed,455,0,15.1,100,20,0,
256,gra,10.0,0.1,feed,456,0,13.2,100,20,0,
257,gra,10.0,0.1,feed,457,0,13.6,100,22,0,
258,gra,10.0,0.1,feed,458,0,13.5,100,22,0,
259,gra,10.0,0.1,feed,459,0,12.6,100,20,0,
260,gra,10.0,0.1,feed,460,0,12.3,100,18,0,
261,gra,10.0,0.1,feed,461,0,12.1,100,20,0,
262,gra,10.0,0.1,feed,462,0,12.2,100,18,0,
263,gra,10.0,0.1,feed,463,0,12.6,100,20,0,
264,gra,10.0,0.1,feed,464,0,14.8,100,20,0,
265,gra,10.0,0.1,feed,465,0,12.0,100,18,0,
266,gra,10.0,0.1,feed,466,0,13.1,100,20,0,
267,gra,10.0,0.1,feed,467,0,13.3,100,20,0,
268,gra,10.0,0.1,feed,468,0,18.6,100,18,0,
269,gra,10.0,0.1,feed,469,0,17.1,100,20,0,
270,gra,10.0,0.1,feed,470,0,12.3,100,18,0,
271,gra,10.0,0.1,feed,471,0,12.5,100,18,0,
272,gra,10.0,0.1,feed,472,0,12.9,100,20,0,
273,gra,10.0,0.1,feed,473,0,15.9,100,18,0,
274,gra,10.0,0.1,feed,474,0,13.1,100,16,0,
275,gra,10.0,0.1,feed,475,0,15.4,100,18,0,
276,gra,10.0,0.1,feed,476,0,13.0,100,20,0,
277,gra,10.0,0.1,feed,477,0,12.9,100,20,0,
278,gra,10.0,0.1,feed,478,0,12.4,100,18,0,
279,gra,10.0,0.1,feed,479,0,12.8,100,20,0,
280,gra,10.0,0.1,feed,480,0,16.2,100,18,0,
281,gra,10.0,0.1,feed,481,0,12.1,100,18,0,
282,gra,10.0,0.1,feed,482,0,13.7,100,20,0,
283,gra,10.0,0.1,feed,483,0,21.4,100,18,0,
284,gra,10.0,0.1,feed,484,0,13.1,100,22,0,
285,gra,10.0,0.1,feed,485,0,13.1,100,20,0,
286,gra,10.0,0.1,feed,486,0,12.5,100,18,0,
287,gra,10.0,0.1,feed,487,0,11.7,100,18,0,
288,gra,10.0,0.1,feed,488,0,14.2,100,20,0,
289,gra,10.0,0.1,feed,489,0,12.2,100,18,0,
290,gra,10.0,0.1,feed,490,0,14.4,100,18,0,
291,gra,10.0,0.1,feed,491,0,12.8,100,18,0,
292,gra,10.0,0.1,feed,492,0,13.3,100,22,0,
293,gra,10.0,0.1,feed,493,0,13.2,100,18,0,
294,gra,10.0,0.1,feed,494,0,17.5,100,20,0,
295,gra,10.0,0.1,feed,495,0,13.3,100,20,0,
296,gra,10.0,0.1,feed,496,0,16.7,100,20,0,
297,gra,10.0,0.1,feed,497,0,12.9,100,18,0,
298,gra,10.0,0.1,feed,498,0,17.3,100,20,0,
299,gra,10.0,0.1,feed,499,0,12.3,100,18,0,
300,copras,10.0,0.1,feed,500,0,21.6,100,26,0,
301,copras,10.0,0.1,feed,501,0,11.9,100,24,0,
302,copras,10.0,0.1,feed,502,0,14.1,100,24,0,
303,copras,10.0,0.1,feed,503,0,12.8,100,26,0,
304,copras,10.0,0.1,feed,504,0,20.6,100,24,0,
305,copras,10.0,0.1,feed,505,0,20.5,100,26,0,
306,copras,10.0,0.1,feed,506,0,17.8,100,28,0,
307,copras,10.0,0.1,feed,507,0,18.5,100,28,0,
308,copras,10.0,0.1,feed,508,0,12.9,100,26,0,
309,copras,10.0,0.1,feed,509,0,18.5,100,26,0,
310,copras,10.0,0.1,feed,510,0,15.5,100,26,0,
311,copras,10.0,0.1,feed,511,0,12.9,100,26,0,
312,copras,10.0,0.1,feed,512,0,15.2,100,26,0,
313,copras,10.0,0.1,feed,513,0,12.0,100,26,0,
314,copras,10.0,0.1,feed,514,0,13.5,100,28,0,
315,copras,10.0,0.1,feed,515,0,14.8,100,26,0,
316,copras,10.0,0.1,feed,516,0,21.1,100,24,0,
317,copras,10.0,0.1,feed,517,0,19.2,100,26,0,
318,copras,10.0,0.1,feed,518,0,12.7,100,28,0,
319,copras,10.0,0.1,feed,519,0,12.3,100,26,0,
320,copras,10.0,0.1,feed,520,0,12.7,100,26,0,
321,copras,10.0,0.1,feed,521,0,12.2,100,24,0,
322,copras,10.0,0.1,feed,522,0,22.4,100,26,0,
323,copras,10.0,0.1,feed,523,0,14.4,100,26,0,
324,copras,10.0,0.1,feed,524,0,12.5,100,26,0,
325,copras,10.0,0.1,feed,525,0,13.4,100,26,0,
326,copras,10.0,0.1,feed,526,0,13.1,100,26,0,
327,copras,10.0,0.1,feed,527,0,13.1,100,28,0,
328,copras,10.0,0.1,feed,528,0,12.2,100,26,0,
329,copras,10.0,0.1,feed,529,0,13.1,100,26,0,
330,copras,10.0,0.1,feed,530,0,15.5,100,26,0,
331,copras,10.0,0.1,feed,531,0,13.1,100,26,0,
332,copras,10.0,0.1,feed,532,0,13.6,100,28,0,
333,copras,10.0,0.1,feed,533,0,12.7,100,26,0,
334,copras,10.0,0.1,feed,534,0,15.3,100,26,0,
335,copras,10.0,0.1,feed,535,0,14.4,100,26,0,
336,copras,10.0,0.1,feed,536,0,22.3,100,28,0,
337,copras,10.0,0.1,feed,537,0,13.4,100,26,0,
338,copras,10.0,0.1,feed,538,0,13.7,100,26,0,
339,copras,10.0,0.1,feed,539,0,20.8,100,24,0,
340,copras,10.0,0.1,feed,540,0,13.0,100,24,0,
341,copras,10.0,0.1,feed,541,0,12.4,100,24,0,
342,copras,10.0,0.1,feed,542,0,15.1,100,26,0,
343,copras,10.0,0.1,feed,543,0,12.5,100,26,0,
344,copras,10.0,0.1,feed,544,0,12.6,100,24,0,
345,copras,10.0,0.1,feed,545,0,13.4,100,24,0,
346,copras,10.0,0.1,feed,546,0,12.4,100,24,0,
347,copras,10.0,0.1,feed,547,0,14.6,100,28,0,
348,copras,10.0,0.1,feed,548,0,12.6,100,26,0,
349,copras,10.0,0.1,feed,549,0,12.4,100,26,0,
350,spotis,10.0,0.1,feed,550,0,11.5,100,20,0,
351,spotis,10.0,0.1,feed,551,0,12.6,100,28,0,
352,spotis,10.0,0.1,feed,552,0,13.0,100,28,0,
353,spotis,10.0,0.1,feed,553,0,13.6,100,26,0,
354,spotis,10.0,0.1,feed,554,0,14.5,100,22,0,
355,spotis,10.0,0.1,feed,555,0,13.4,100,28,0,
